,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria ,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria ,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Philippines,"1,234,630","49,318.90","19,334.20","19,358","21,034.26","5,563.23","61,667.62",,"55,452.14",,Philippines,"1,064,900.00","50,100.00","246,659.62",16173.21173,17362.26474,"5,355.00","53,412.41",0,"36,379.95"
Poland,"32,493",31.86,"12,075.66",0.82791604,0,0,0.00,,0.00,,Poland,"26,700.00",0.00,"7,489.53",0.621816442,0,0,0,0,0.00
Portugal,"9,061",3.25,"42,759.25",0,0.00,0,0.00,,0.00,,Portugal,"6,200.00",0.00,"37,869.09",0,0,0,25.27111428,0,0.00
Puerto Rico,,,0.00,0,0,0,157.55,,0.00,,Puerto Rico,,,"12,820.97",0,0,0,130.9259218,0,0.00
Qatar,"1,563",207.74,952.15,0,0.008198895,0,0.00,,0.00,,Qatar,500.00,0.00,219.18,0,0.010258434,0,0,0,0.00
Republic of Korea,"112,688",27.66,"21,670.53",0,0.515864635,8.09E-05,0.00,,"12,680.19",,Republic of Korea,"94,000.00",100.00,0.00,0,0.453168081,6.25E-05,0,0,0.00
Republic of Moldova,"23,159",14.11,"30,637.56",0.387991364,0,0,0.00,,0.00,,Republic of Moldova,"16,800.00",0.00,0.00,0.283227183,0,0,0,0,0.00
Romania,"75,582",18.02,"32,849.87",2.461023425,0,0,0.00,,0.00,,Romania,"42,900.00",0.00,"7,650.67",1.756839871,0,0,0,0,0.00
Russia,"920,069",447.09,"2,371,549.56",0,0.00,0,0.00,,0.00,,Russia,"634,800.00",0.00,"946,639.10",0,0,0,47.65770199,0,0.00
Rwanda,"170,525","627,201.00","286,721.59",5131.191703,"4,180.69",640.54,"11,511.82",,0.00,,Rwanda,"169,400.00","294,400.00","288,853.94",4323.811857,4310.730507,682.6762873,10221.14595,0,0.00
Saint Kitts and Nevis,,,0.00,0,0.00,0.00,0.00,,0.00,,Saint Kitts and Nevis,,,0.00,0,0,0,0,0,0.00
Saint Lucia,266,0.15,926.53,5.467884933,19.58822985,1.586601093,28.68,,0.00,,Saint Lucia,200.00,0.00,428.16,5.190018385,17.59952567,1.499803558,28.86560843,0,0.00
Saint Vincent and the Grenadines,87,0.09,"1,263.82",1.337430157,13.08336466,0.018483475,0.00,,0.00,,Saint Vincent and the Grenadines,100.00,0.00,997.80,1.220915852,12.67899361,0.016968861,0,0,0.00
Samoa,321,6.23,0.00,2,3.88,0.00,0.00,,163.31,,Samoa,300.00,0.00,277.22,1.557198499,3.349556192,0.002645249,0,0,98.19
San Marino,,,0.00,0,0,0,0.00,,0.00,,San Marino,,,0.00,0,0,0,0,0,0.00
Sao Tome and Principe,539,"7,591.82","2,539.09",73,36.79013678,27.91758527,195.55,,422.07,,Sao Tome and Principe,600.00,"5,400.00","1,464.51",68.75899364,38.78637006,29.3932634,177.750716,0,463.62
Saudi Arabia,"36,218",865.90,"9,142.05",75.00583141,526.885315,0.061419092,479.31,,0.00,,Saudi Arabia,"27,100.00","1,700.00","13,600.97",60.73956023,505.8067754,0.057376514,461.2503367,0,0.00
Senegal,"136,810","653,870.00","121,913.56","1,367",492.1595839,60.22092027,"43,189.85",,"8,577.34",,Senegal,"148,300.00","524,000.00","117,960.39",1110.600512,520.55,66.62687325,30570.89323,0,"10,424.90"
Serbia,"6,459",11.35,"17,720.16",0.821585732,0,0,0.00,,0.00,,Serbia,"4,500.00",0.00,490.40,0.63311672,0,0,0,0,0.00
Seychelles,105,0.88,448.11,3.848325233,16.76,18.64,0.00,,0.00,,Seychelles,100.00,0.00,369.92,3.863092652,15.06308707,19.1760799,0,0,0.00
Sierra Leone,"104,261","675,786.00","131,187.27","7,354",2033.500066,254.4701995,"5,659.54",,"7,020.29",,Sierra Leone,"92,000.00","718,200.00","153,643.34",6095.529298,1730.173825,221.1768142,3492.930857,19560.98503,"6,177.43"
Singapore,"2,957",0.67,"3,081.39",0,0,0,0.00,,0.00,,Singapore,"2,200.00",0.00,"2,395.25",0,0,0,0,0,0.00
Sint Maarten (Dutch part),,,0.00,0,0,0,0.00,,0.00,,Sint Maarten (Dutch part),,,0.00,0,0,0,0,0,0.00
Slovakia,"1,978",4.37,373.65,0.275249237,0,0,0.00,,0.00,,Slovakia,"1,500.00",0.00,176.10,0.239429221,0,0,0,0,0.00
Slovenia,776,1.62,546.84,0,0.00,0,0.00,,0.00,,Slovenia,600.00,0.00,91.16,0,0,0,0,0,0.00
Solomon Islands,"6,545","5,496.89",0.00,38.9021243,296.5603341,43.54576639,0.00,,0.00,,Solomon Islands,"4,300.00","3,000.00",801.40,32.6524688,308.7298155,45.6655692,0,0,0.00
Somalia,"256,355","951,236.00","265,788.34",2630.345607,3998.800073,"1,291.29","17,559.74",,0.00,,Somalia,"382,100.00","496,300.00","127,018.61",2551.919116,"3,946.59","1,372.17",17927.67558,0,0.00
South Africa,"874,640","17,351.80","11,915,616.10",2145.775885,"11,859.50","7,421.23","45,344.39",,0.00,,South Africa,"1,006,200.00","21,800.00","11,928,553.93",1970.017268,"10,832.34","7,122.81","45,177.87",0,0.00
South Sudan,"240,531","286,556.96","551,177.50",7659.263235,1423.148562,4.169833655,"16,228.15",,"2,485.45",,South Sudan,"365,600.00","246,200.00","657,078.53",7188.794937,"1,552.10",4.68,18119.39001,83529.06289,"2,652.67"
Spain,"17,590",12.04,"56,242.71",0,0,0,0.00,,0.00,,Spain,"11,900.00",0.00,"56,391.34",0,0,0,0,0,0.00
Sri Lanka,"49,596","2,410.07","9,506.09",368.865406,874.86,142.53,0.00,,"8,991.06",,Sri Lanka,"43,700.00",900.00,"3,746.83",319.6979803,826.407936,140.25,0,0,"4,078.55"
Sudan,"276,907","1,145,640.00","886,973.37","1,592",3957.419674,12.89455811,"21,047.66",,"2,341.43",,Sudan,"98,000.00","430,000.00","162,217.97",1390.194523,3965.142452,13.42474171,19079.6265,0,"2,551.12"
Suriname,515,552.17,"14,823.65",6.307616558,32.3446123,2.67E-05,481.89,,0.00,,Suriname,700.00,100.00,"3,836.65",5.078821463,26.15874908,2.43E-05,499.3953551,0,0.00
Swaziland,"29,996","1,000.00","361,429.70",180.4750077,797.8834792,291.2504273,958.73,,0.00,,Swaziland,"62,800.00","11,900.00","358,933.06",163.0594268,829.6758647,291.9936264,918.65,0,0.00
Sweden,482,0.00,"1,943.24",0,0,0,0.00,,0.00,,Sweden,"1,600.00",0.00,"1,705.12",0,0,0,0,0,0.00
Switzerland,276,0.00,"6,754.44",0,0,0,0.00,,0.00,,Switzerland,"1,300.00",0.00,"3,360.75",0,0,0,0,0,0.00
Syrian Arab Republic,"24,011",0.00,"4,022.46",1054.597919,265.9330407,15.06201776,"2,903.13",,0.00,,Syrian Arab Republic,"4,200.00",800.00,0.00,994.8465317,253.7446727,13.59145152,2647.698737,0,0.00
Tajikistan,"39,001",804.16,"28,213.89",64.05492565,0.053768453,0.000347131,0.00,,0.00,,Tajikistan,"36,700.00","1,000.00","5,071.79",67.76508578,0.133808684,0.002566178,0,0,0.00
Tanzania,"523,767","3,216,420.00","4,674,416.77","24,581",18925.22016,"1,290.56","153,080.51",,"44,776.04",,Tanzania,"904,000.00","2,425,300.00","3,731,739.94",20327.32543,20364.77484,1418.452487,121130.0742,17379.38367,"41,158.67"
Thailand,"312,853","24,000.00","1,123,299.96",482,"5,598.78",11.62,0.00,,69.72,,Thailand,"209,000.00","16,200.00","582,724.03",350.9630467,5026.395679,10.76,0,0,65.49
The Former Yugoslav Republic of Macedonia,"2,181",1.82,"2,404.59",0.230424365,0,0,0.00,,0.00,,The Former Yugoslav Republic of Macedonia,"1,400.00",0.00,0.00,0.270278723,0,0,0,0,0.00
Timor-Leste,,,0.00,184,69.2232667,8.400260257,0.00,,"3,513.91",,Timor-Leste,"5,500.00","3,100.00","6,980.22",148.483424,71.31445984,8.961290725,0,0,"3,516.23"
Togo,"130,915","327,000.00","290,545.08",2028.695403,358.8767012,0.14502811,"29,847.55",,768.26,,Togo,"58,500.00","510,900.00","321,171.50",1655.772615,377.0385661,0.157105268,12732.53132,147.7381693,801.35
Tokelau,,,0.00,0,0,0,0.00,,0.00,,Tokelau,,,0.00,0,0,0,0,0,0.00
Tonga,198,3.48,0.00,0.772967333,6.470412318,0.108221271,0.00,,55.72,,Tonga,100.00,0.00,152.52,0.632202805,6.289684231,0.105868029,0,0,57.33
Trinidad and Tobago,"1,011",1.84,"29,330.21",3.074866857,5.17992889,0.037707335,0.00,,0.00,,Trinidad and Tobago,"1,400.00",0.00,"10,889.46",2.736146085,4.607362129,0.036077401,0,0,0.00
Tunisia,"10,746",2.71,"32,140.27",32.79828676,0.215457205,0.547706711,576.62,,0.00,,Tunisia,"5,100.00",0.00,"3,258.45",30.61015106,0.212873128,0.521178596,600.2099252,0,0.00
Turkey,"96,183",70.70,"6,757.62",160.6176922,1.49,17.851282,446.83,,0.00,,Turkey,"42,700.00",700.00,"8,234.42",138.2607814,1.005262256,17.95454632,468.8213476,0,0.00
Turkmenistan,"29,263",1.59,"22,889.27",23.92039391,0.106291673,0,0.00,,0.00,,Turkmenistan,"28,000.00",0.00,"11,683.36",18.75099426,0.101164846,0,0,0,0.00
Turks and Caicos Islands,,,0.00,0,0,0,0.00,,0.00,,Turks and Caicos Islands,,,0.00,0,0,0,0,0,0.00
Tuvalu,,,0.00,0,0,0,0.00,,0.00,,Tuvalu,,,0.00,0,0,0,0,0,0.00
Uganda,"725,727","2,399,530.00","2,868,066.03","11,787",7734.530596,145.51,"116,555.03",,"19,248.43",,Uganda,"716,200.00","2,478,500.00","2,910,563.99",11846.88984,"6,649.16",130.63,101112.4143,21450.46774,"16,061.96"
Ukraine,"283,678",195.69,"1,044,023.08",0,0,0,0.00,,0.00,,Ukraine,"203,600.00",0.00,"393,688.70",0,0,0,0,0,0.00
United Arab Emirates,"2,455",12.71,"12,128.99",0.702050989,0.078459397,0,0.00,,0.00,,United Arab Emirates,"2,600.00",100.00,"4,658.80",0.690055344,0.094669309,0,0,0,0.00
United Kingdom of Great Britain and Northern Ireland,"17,055",17.93,"22,207.52",0,0,0,0.00,,0.00,,United Kingdom of Great Britain and Northern Ireland,"12,000.00",0.00,0.00,0,0,0,0,0,0.00
United States,"39,160",817.95,"587,494.16",0,0,0,0.00,,0.00,,United States,"31,100.00",0.00,"420,453.60",0,0,0,0,0,0.00
Uruguay,"2,562",0.93,"8,368.80",0.762542601,0,0.00,0.00,,0.00,,Uruguay,"1,900.00",0.00,"7,794.53",0.633179147,0,0,0,0,0.00
US Virgin Islands,,,0.00,0,0.00,0.00,0.00,,0.00,,US Virgin Islands,,,0.00,0,0,0,0,0,0.00
Uzbekistan,"157,641",43.93,"78,135.51",8.786748413,0.360870408,0,0.00,,0.00,,Uzbekistan,"141,200.00",100.00,"31,445.45",7.064717169,0.354512034,0,0,0,0.00
Vanuatu,"2,119",474.54,0.00,98.30868966,122.4529722,15.83233296,0.00,,216.23,,Vanuatu,"1,500.00","1,300.00",375.41,91.9483151,125.7853328,16.73334104,0,0,92.10
Venezuela,"32,536","1,023.35","277,018.19",2793.234676,"1,514.78","3,412.06","4,884.60",,0.00,,Venezuela,"25,800.00","7,600.00","106,373.80",2745.889389,"1,394.58","3,397.67",5028.498609,861.9538227,0.00
Viet Nam,"473,572","63,901.40","618,321.79",5394.903603,"6,634.97",795.59,0.00,,"1,389.13",,Viet Nam,"386,600.00","19,600.00",0.00,3840.646693,"4,062.36",577.07,0.00,0,"1,432.07"
Wallis and Futuna Islands,,,0.00,0,0,0,0.00,,0.00,,Wallis and Futuna Islands,,,0.00,0,0,0,0,0,0.00
West Bank and Gaza Strip,,,0.00,0,0,0,0.00,,0.00,,West Bank and Gaza Strip,,,0.00,0,0,0,0,0,0.00
Yemen,"176,224","298,580.00","8,210.10","1,808",524.9635731,19.01270357,"17,085.50",,51.06,,Yemen,"97,300.00","368,800.00","8,222.91",1869.375452,528.42572,20.22380021,9865.65276,0,48.56
Zambia,"264,642","1,197,510.00","1,831,768.06","5,029",6986.771502,21.46,"30,006.68",,"4,527.77",,Zambia,"414,300.00","1,035,100.00","1,952,805.11",3992.070603,7427.055539,22.71311052,29128.63144,0,"4,679.51"
Zimbabwe,"340,933","282,571.00","2,332,784.33","1,267",5424.545125,"2,385.49","26,083.21",,58.98,,Zimbabwe,"411,600.00","153,100.00","2,586,881.43",1000.833203,5712.998211,"2,534.10","19,070.34",0,63.95
